"","X.new_regions.","X.sunspot_area.","X.sunspot_number.","X.radio_flux.","X.grow","X.grow.day","X.less"
"313","2",1090,101,152,"1",3,"-1"
"314","1",940,123,158,"1",5,"-1"
"315","1",880,140,156,"1",6,"-1"
"316","1",1250,205,171,"1",10,"-1"
"317","0",910,157,174,"1",11,"-1"
"318","3",1060,197,178,"1",12,"-1"
"319","0",1170,227,176,"1",13,"1"
"320","1",760,160,158,"-1",11,"-1"
"321","2",920,191,149,"-1",10,"-1"
"322","2",540,174,149,"-1",9,"1"
"324","0",540,108,165,"-1",5,"-1"
"325","1",890,145,148,"-1",4,"-1"
"326","0",850,130,148,"-1",3,"-1"
"327","1",530,110,136,"1",1,"-1"
"328","3",520,125,138,"1",2,"-1"
"329","1",630,137,149,"1",3,"-1"
"330","0",880,137,151,"1",4,"-1"
"331","1",740,132,159,"1",8,"-1"
"332","0",650,114,153,"1",9,"-1"
"333","0",520,123,153,"1",10,"-1"
"334","2",620,145,145,"1",11,"-1"
"335","2",540,124,153,"-1",12,"-1"
"336","1",740,126,155,"-1",11,"-1"
"337","0",800,137,153,"-1",10,"-1"
"338","0",420,106,140,"-1",6,"-1"
"340","1",430,95,131,"-1",5,"-1"
"341","1",420,78,137,"-1",4,"1"
"342","0",790,105,150,"0",0,"1"
"343","3",960,149,162,"1",1,"-1"
"344","2",1480,245,184,"1",2,"1"
"345","0",760,136,145,"1",8,"-1"
"346","0",810,105,136,"1",9,"-1"
"347","1",450,71,130,"1",10,"1"
"348","0",620,79,121,"1",14,"-1"
"349","0",570,80,120,"-1",14,"1"
"350","1",1010,105,146,"-1",6,"-1"
"352","0",1140,164,163,"-1",2,"-1"
"353","0",880,138,159,"-1",1,"-1"
"354","2",1000,162,163,"0",0,"1"
"355","1",900,130,152,"1",1,"1"
"356","2",340,130,117,"1",5,"1"
"357","1",230,126,117,"1",6,"-1"
"358","1",370,100,114,"1",7,"-1"
"359","0",280,70,111,"1",8,"-1"
